id,name,value,session_id,data_set_id
391,buttonPressed,submit,i1265,
392,email_address,,i1265,
393,isTimeout,0,i1265,
394,postcode,3500,i1265,
395,timeTaken,22.26830006,i1265,
396,buttonPressed,submit,i1282,
397,email_address,,i1282,
398,isTimeout,0,i1282,
399,postcode,2645,i1282,
400,timeTaken,26.54667306,i1282,
401,buttonPressed,submit,i1264,
402,email_address,,i1264,
403,isTimeout,0,i1264,
404,postcode,3844,i1264,
405,timeTaken,14.86206102,i1264,
406,buttonPressed,submit,i1268,
407,email_address,,i1268,
408,isTimeout,0,i1268,
409,postcode,,i1268,
410,timeTaken,17.83174706,i1268,
411,buttonPressed,submit,i1289,
412,email_address,,i1289,
413,isTimeout,0,i1289,
414,postcode,,i1289,
415,timeTaken,21.88712215,i1289,
416,buttonPressed,submit,i1287,
417,email_address,,i1287,
418,isTimeout,0,i1287,
419,postcode,,i1287,
420,timeTaken,33.78459787,i1287,
421,buttonPressed,submit,i1328,
422,email_address,,i1328,
423,isTimeout,0,i1328,
424,postcode,5091,i1328,
425,timeTaken,55.43378401,i1328,
426,buttonPressed,submit,i1291,
427,email_address,,i1291,
428,isTimeout,0,i1291,
429,postcode,,i1291,
430,timeTaken,12.51662803,i1291,
431,buttonPressed,submit,i1325,
432,email_address,,i1325,
433,isTimeout,0,i1325,
434,postcode,5062,i1325,
435,timeTaken,11.65502191,i1325,
436,buttonPressed,submit,i1333,
437,email_address,,i1333,
438,isTimeout,0,i1333,
439,postcode,,i1333,
440,timeTaken,19.25445509,i1333,
441,buttonPressed,submit,i1382,
442,email_address,,i1382,
443,isTimeout,0,i1382,
444,postcode,4818,i1382,
445,timeTaken,17.61968803,i1382,
446,buttonPressed,submit,i1326,
447,email_address,,i1326,
448,isTimeout,0,i1326,
449,postcode,4165,i1326,
450,timeTaken,17.20212793,i1326,
451,buttonPressed,submit,i1393,
452,email_address,,i1393,
453,isTimeout,0,i1393,
454,postcode,,i1393,
455,timeTaken,23.99290109,i1393,
456,buttonPressed,submit,i1401,
457,email_address,,i1401,
458,isTimeout,0,i1401,
459,postcode,3130,i1401,
460,timeTaken,27.69362307,i1401,
461,buttonPressed,submit,i1384,
462,email_address,,i1384,
463,isTimeout,0,i1384,
464,postcode,4818,i1384,
465,timeTaken,13.78313088,i1384,
466,buttonPressed,submit,i1383,
467,email_address,,i1383,
468,isTimeout,0,i1383,
469,postcode,,i1383,
470,timeTaken,19.20140004,i1383,
471,buttonPressed,submit,i1378,
472,email_address,,i1378,
473,isTimeout,0,i1378,
474,postcode,5722,i1378,
475,timeTaken,121.4989262,i1378,
476,buttonPressed,submit,i1377,
477,email_address,,i1377,
478,isTimeout,0,i1377,
479,postcode,,i1377,
480,timeTaken,13.12035084,i1377,
481,buttonPressed,submit,i1418,
482,email_address,,i1418,
483,isTimeout,0,i1418,
484,postcode,,i1418,
485,timeTaken,8.562251091,i1418,
486,buttonPressed,submit,i1403,
487,email_address,,i1403,
488,isTimeout,0,i1403,
489,postcode,3130,i1403,
490,timeTaken,9.754883051,i1403,
491,buttonPressed,submit,i1410,
492,email_address,,i1410,
493,isTimeout,0,i1410,
494,postcode,,i1410,
495,timeTaken,34.20240116,i1410,
496,buttonPressed,submit,i1427,
497,email_address,,i1427,
498,isTimeout,0,i1427,
499,postcode,2870,i1427,
500,timeTaken,20.4738369,i1427,
501,buttonPressed,submit,i1433,
502,email_address,,i1433,
503,isTimeout,0,i1433,
504,postcode,,i1433,
505,timeTaken,18.19561195,i1433,
506,buttonPressed,submit,i1429,
507,email_address,,i1429,
508,isTimeout,0,i1429,
509,postcode,,i1429,
510,timeTaken,19.691926,i1429,
511,buttonPressed,submit,i1423,
512,email_address,,i1423,
513,isTimeout,0,i1423,
514,postcode,3995,i1423,
515,timeTaken,48.22978806,i1423,
516,buttonPressed,submit,i1460,
517,email_address,,i1460,
518,isTimeout,0,i1460,
519,postcode,,i1460,
520,timeTaken,24.57521605,i1460,
521,buttonPressed,submit,i1451,
522,email_address,,i1451,
523,isTimeout,0,i1451,
524,postcode,,i1451,
525,timeTaken,8.434417009,i1451,
526,buttonPressed,submit,i1493,
527,email_address,,i1493,
528,isTimeout,0,i1493,
529,postcode,3741,i1493,
530,timeTaken,14.77366281,i1493,
531,buttonPressed,submit,i1464,
532,email_address,,i1464,
533,isTimeout,0,i1464,
534,postcode,2870,i1464,
535,timeTaken,32.25994205,i1464,
536,buttonPressed,submit,i1476,
537,email_address,,i1476,
538,isTimeout,0,i1476,
539,postcode,,i1476,
540,timeTaken,16.26793885,i1476,
541,buttonPressed,submit,i1479,
542,email_address,,i1479,
543,isTimeout,0,i1479,
544,postcode,,i1479,
545,timeTaken,9.812587976,i1479,
546,buttonPressed,submit,i1483,
547,email_address,,i1483,
548,isTimeout,0,i1483,
549,postcode,3000,i1483,
550,timeTaken,63.26547694,i1483,
551,buttonPressed,submit,i1520,
552,email_address,,i1520,
553,isTimeout,0,i1520,
554,postcode,2870,i1520,
555,timeTaken,24.96445394,i1520,
556,buttonPressed,submit,i1499,
557,email_address,,i1499,
558,isTimeout,0,i1499,
559,postcode,3941,i1499,
560,timeTaken,28.49642801,i1499,
561,buttonPressed,submit,i1495,
562,email_address,,i1495,
563,isTimeout,0,i1495,
564,postcode,3741,i1495,
565,timeTaken,12.80155301,i1495,
566,buttonPressed,submit,i1527,
567,email_address,,i1527,
568,isTimeout,0,i1527,
569,postcode,,i1527,
570,timeTaken,13.10492492,i1527,
571,buttonPressed,submit,i1539,
572,email_address,,i1539,
573,isTimeout,0,i1539,
574,postcode,,i1539,
575,timeTaken,12.60394192,i1539,
576,buttonPressed,submit,i1534,
577,email_address,,i1534,
578,isTimeout,0,i1534,
579,postcode,3147,i1534,
580,timeTaken,43.72253394,i1534,
581,buttonPressed,submit,i1544,
582,email_address,,i1544,
583,isTimeout,0,i1544,
584,postcode,3350,i1544,
585,timeTaken,45.04461384,i1544,
586,buttonPressed,submit,i1556,
587,email_address,,i1556,
588,isTimeout,0,i1556,
