id,age,gender,nationality,device,colour,number,animal,userid,lastletter,firstletter,session
675,73,f,au,galaxy,green,77,b,73faugalaxygreen77bIM,I,M,
676,73,f,au,ipad,white,44,d,73fauipadwhite44dWC,W,C,
677,57,f,au,otherphone,green,7,n,57fauotherphonegreen7nSP,S,P,
678,71,f,au,ipad,orange,20,c,71fauipadorange20cNB,N,B,
679,66,m,au,ipad,green,44,c,66mauipadgreen44cKY,K,Y,
680,61,f,au,galaxy,purple,27,c,61faugalaxypurple27csl,s,l,
681,69,m,au,laptop,blue,69,n,69maulaptopblue69nlc,l,c,
682,65,f,au,ipad,red,7,d,65fauipadred7dDP,D,P,
683,53,f,au,galaxy,orange,99,b,53faugalaxyorange99bSL,S,L,
684,68,m,au,pc,blue,36,d,68maupcblue36dss,s,s,
685,62,f,eu,ipad,purple,4,b,62feuipadpurple4bNC,N,C,
686,60,m,au,ipad,black,87,d,60mauipadblack87dNM,N,M,
687,55,m,au,galaxy,blue,5,d,55maugalaxyblue5dKS,K,S,
688,52,f,au,laptop,hotpink,9,d,52faulaptophotpink9dWY,W,Y,
689,64,m,au,ipad,blue,7,d,64mauipadblue7dML,M,L,
690,75,f,au,pc,pnts,43,pnts,75faupcpnts43pntsEB,E,B,
691,66,m,au,ipad,blue,69,d,66mauipadblue69dSP,S,P,
692,57,m,au,otherphone,blue,4,c,57mauotherphoneblue4cDS,D,S,
693,70,f,au,ipad,orange,29,d,70fauipadorange29dJM,J,M,
694,63,m,au,ipad,blue,63,d,63mauipadblue63dTB,T,B,
695,68,m,au,ipad,green,51,d,68mauipadgreen51dhp,h,p,
696,70,m,au,pc,aqua,1,d,70maupcaqua1deb,e,b,
697,72,m,au,laptop,green,23,d,72maulaptopgreen23drs,r,s,
698,86,f,au,pc,aqua,33,d,86faupcaqua33dns,n,s,
699,66,f,au,otherphone,purple,4,d,66fauotherphonepurple4dRP,R,P,
700,61,m,au,laptop,green,4,d,61maulaptopgreen4dke,k,e,
701,55,f,nz,iphone,blue,8,c,55fnziphoneblue8cSC,S,C,
702,31,m,au,laptop,red,23,b,31maulaptopred23bas,a,s,
703,64,m,au,pc,blue,1,d,64maupcblue1ddp,d,p,
704,63,f,au,galaxy,azure,7,d,63faugalaxyazure7dhm,h,m,
705,60,m,au,pc,blue,30,c,60maupcblue30cES,E,S,
706,76,f,au,laptop,purple,7,b,76faulaptoppurple7blc,l,c,
707,71,m,au,pc,yellow,56,d,71maupcyellow56des,e,s,
708,52,m,au,iphone,orange,9,d,52mauiphoneorange9dTC,T,C,
709,65,f,au,ipad,teal,54,d,65fauipadteal54dEA,E,A,
710,41,f,au,ipad,green,16,d,41fauipadgreen16dKC,K,C,
711,72,f,au,ipad,blue,72,c,72fauipadblue72cRP,R,P,
712,53,m,as,laptop,blue,8,d,53maslaptopblue8dns,n,s,
713,85,f,au,laptop,aqua,7,b,85faulaptopaqua7brp,r,p,
714,59,f,au,ipad,blue,19,d,59fauipadblue19dQP,Q,P,
715,56,m,au,iphone,hotpink,7,d,56mauiphonehotpink7dCE,C,E,
716,68,m,au,othertablet,blue,8,d,68mauothertabletblue8dEP,E,P,
717,52,f,au,iphone,blue,4,d,52fauiphoneblue4dEC,E,C,
718,59,f,au,ipad,red,42,c,59fauipadred42cLC,L,C,
